Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,AOR
01-02-2016 10:00,61,Monday,2,30,48,19.98333333,2.8
21-12-2015 10:00,61,Monday,2,11,53,20.48333333,3.3
18-04-2016 10:00,61,Monday,2,34,64,19.25,4.4
25-04-2016 10:00,61,Monday,2,23,52,20.18333333,3.2
02-05-2016 10:00,61,Monday,2,28,57,17.13333333,3.7
09-05-2016 10:00,61,Monday,2,26,55,17.25,3.5
07-03-2016 10:00,61,Monday,2,26,51,18.93333333,3.1
14-03-2016 10:00,61,Monday,2,28,56,19.1,3.6
21-03-2016 10:00,61,Monday,2,26,56,19.83333333,3.6
28-03-2016 10:00,61,Monday,2,24,51,17.66666667,3.1
08-02-2016 10:00,61,Monday,2,34,57,16.11666667,3.7
15-02-2016 10:00,61,Monday,2,30,67,17.36666667,4.7
22-02-2016 10:00,61,Monday,2,28,55,14.53333333,3.5
29-02-2016 10:00,61,Monday,2,20,55,17.83333333,3.5
16-05-2016 10:00,61,Monday,2,32,58,20.91666667,3.8
25-01-2016 10:00,61,Monday,2,26,54,22.4,3.4
23-05-2016 10:00,61,Monday,2,30,55,19.43333333,3.5
30-05-2016 10:00,61,Monday,2,30,58,18.43333333,3.8
06-06-2016 10:00,61,Monday,2,26,56,17.88333333,3.6
13-06-2016 10:00,61,Monday,2,23,61,19.33333333,4.1
20-06-2016 10:00,61,Monday,2,34,58,18.45,3.8
27-06-2016 10:00,61,Monday,2,32,53,16.21666667,3.3
04-07-2016 10:00,61,Monday,2,26,56,15.85,3.6
11-07-2016 10:00,61,Monday,2,32,61,17,4.1
18-07-2016 10:00,61,Monday,2,23,56,14.63333333,3.6
25-07-2016 10:00,61,Monday,2,26,57,16.86666667,3.7
01-08-2016 10:00,61,Monday,2,26,58,18.73333333,3.8
08-08-2016 10:00,61,Monday,2,30,56,15.31666667,3.6
15-08-2016 10:00,61,Monday,2,26,54,15.53333333,3.4
22-08-2016 10:00,61,Monday,2,26,56,15.25,3.6
12-09-2016 10:00,61,Monday,2,28,56,14.33333333,3.6
12-04-2016 10:30,64,Tuesday,3,30,53,19.88333333,3.3
02-02-2016 10:30,64,Tuesday,3,26,48,19.3,2.8
22-12-2015 10:30,64,Tuesday,3,26,57,19.93333333,3.7
19-04-2016 10:30,64,Tuesday,3,30,64,18.16666667,4.4
26-04-2016 10:30,64,Tuesday,3,26,53,22,3.3
03-05-2016 10:30,64,Tuesday,3,26,56,13.4,3.6
10-05-2016 10:30,64,Tuesday,3,30,56,19.33333333,3.6
08-03-2016 10:30,64,Tuesday,3,28,59,16.86666667,3.9
15-03-2016 10:30,64,Tuesday,3,30,53,18.45,3.3
22-03-2016 10:30,64,Tuesday,3,30,56,22.9,3.6
29-03-2016 10:30,64,Tuesday,3,32,53,18.9,3.3
02-02-2016 10:30,64,Tuesday,3,26,48,19.3,2.8
09-02-2016 10:30,64,Tuesday,3,28,59,21.08333333,3.9
16-02-2016 10:30,64,Tuesday,3,30,62,17.66666667,4.2
23-02-2016 10:30,64,Tuesday,3,28,61,17.66666667,4.1
17-05-2016 10:30,64,Tuesday,3,34,64,22.73333333,4.4
26-01-2016 10:30,64,Tuesday,3,28,52,17.36666667,3.2
24-05-2016 10:30,64,Tuesday,3,23,57,20.11666667,3.7
31-05-2016 10:30,64,Tuesday,3,34,58,20.56666667,3.8
07-06-2016 10:30,64,Tuesday,3,26,57,19.83333333,3.7
14-06-2016 10:30,64,Tuesday,3,23,56,16.03333333,3.6
21-06-2016 10:30,64,Tuesday,3,32,62,18.46666667,4.2
28-06-2016 10:30,64,Tuesday,3,34,53,16.85,3.3
05-07-2016 10:30,64,Tuesday,3,23,58,22.66666667,3.8
12-07-2016 10:30,64,Tuesday,3,23,55,16.35,3.5
19-07-2016 10:30,64,Tuesday,3,23,55,19.15,3.5
26-07-2016 10:30,64,Tuesday,3,28,62,18.8,4.2
02-08-2016 10:30,64,Tuesday,3,26,56,17.3,3.6
09-08-2016 10:30,64,Tuesday,3,28,56,15.86666667,3.6
16-08-2016 10:30,64,Tuesday,3,26,54,14.51666667,3.4
23-08-2016 10:30,64,Tuesday,3,26,59,17.51666667,3.9
30-08-2016 10:30,64,Tuesday,3,32,60,19.01666667,4
06-09-2016 10:30,64,Tuesday,3,32,61,16.13333333,4.1
13-09-2016 10:30,64,Tuesday,3,34,61,14.98333333,4.1
13-04-2016 19:00,115,Wednesday,4,30,57,20.9,3.7
03-02-2016 19:00,115,Wednesday,4,27,55,21.31666667,3.5
16-12-2015 19:00,115,Wednesday,4,29,46,33.01666667,2.6
